k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
32.0,9,9,9,9,10,7,11,13,13,10,11,12,13,10,11,12,9,12,5,10,13,16,9,12,10,11,9,12,7,9,10,9,13,9,13,8,14,9,14,12,10,10,9,9,10,6,13,10,11,12,16,11,6,8,14,7,7,9,8,7,11,12,13,6,8,10,10,8,11,8,8,8,8,9,9,9,10,12,12,6,8,8,8,12,19,12,11,9,8,10,9,14,12,6,10,14,9,14,6,10
33.0,13,10,14,10,11,8,10,8,15,12,8,14,8,16,12,14,10,16,9,12,16,12,12,9,14,14,12,16,16,13,13,18,13,14,11,16,16,11,15,10,17,15,12,14,11,19,16,17,12,11,10,12,14,12,11,15,7,9,11,12,9,18,9,8,10,17,12,11,15,16,9,13,7,14,12,11,14,16,12,11,16,6,20,11,13,12,16,9,9,14,14,13,18,5,15,12,12,9,14,19
34.0,12,13,15,12,8,14,9,15,12,11,11,12,14,11,17,12,14,14,11,11,7,13,8,12,16,14,11,11,11,14,13,13,14,10,13,11,13,11,12,12,12,10,14,8,13,8,11,6,7,12,11,14,13,10,13,10,10,8,13,14,13,9,10,11,14,12,11,13,14,13,9,11,8,10,6,10,14,9,10,7,12,10,12,13,9,6,14,14,19,11,11,14,8,12,12,8,5,11,13,13
35.0,10,9,5,5,4,8,7,7,2,7,7,7,9,9,9,5,8,4,9,7,7,4,6,9,10,6,5,10,6,10,9,7,6,6,9,4,9,6,6,7,5,9,9,9,7,10,6,6,5,13,10,9,11,7,10,12,9,6,6,10,9,11,8,10,7,8,6,7,3,7,5,9,11,10,6,7,7,7,6,11,6,3,11,12,9,6,3,9,5,8,7,6,9,9,7,16,7,12,10,7
36.0,14,11,12,18,13,12,13,18,10,7,9,15,13,17,14,15,7,12,14,10,15,11,15,20,20,19,9,14,11,14,14,12,15,9,10,14,15,11,15,15,11,14,13,16,7,8,14,7,13,15,14,13,14,12,13,16,9,15,18,16,11,20,16,15,16,16,15,17,12,11,5,13,19,14,20,11,12,11,12,16,10,13,16,14,15,20,12,11,8,13,13,14,11,9,14,16,9,14,16,13
37.0,14,11,7,11,6,12,10,8,9,5,12,4,14,7,7,8,7,11,11,12,12,7,6,7,7,12,8,9,11,7,8,8,15,9,10,17,5,10,7,11,9,12,11,12,7,9,7,9,6,8,12,15,8,11,13,15,7,7,10,10,9,8,14,11,12,7,13,10,8,7,10,11,9,11,12,9,10,13,10,8,9,7,14,11,11,10,11,14,9,10,11,14,6,8,8,10,10,9,8,5
38.0,10,8,10,13,10,10,10,5,8,11,7,7,13,11,13,8,14,4,10,17,8,13,10,12,7,12,8,17,8,8,6,6,7,9,10,10,10,8,7,14,5,6,10,12,14,12,15,9,7,8,12,13,7,10,6,10,13,11,16,9,10,10,10,9,11,15,7,16,4,8,13,12,8,11,10,6,12,8,14,12,9,10,13,13,12,16,4,13,8,9,9,8,13,12,5,17,9,13,9,14
39.0,9,14,14,16,13,11,12,10,15,10,13,10,9,14,11,12,8,8,11,12,9,13,13,13,9,7,11,6,12,10,11,12,9,12,10,8,9,5,11,8,11,16,13,7,8,13,13,8,8,13,10,9,13,13,8,9,12,10,10,10,16,9,11,12,15,10,7,11,8,9,12,9,6,15,8,8,8,8,6,11,11,6,10,7,7,9,10,8,12,6,14,9,13,9,11,10,8,13,11,8
40.0,8,18,13,12,12,10,16,19,14,11,13,15,13,14,13,11,14,18,16,10,13,7,12,12,12,19,8,18,13,11,9,10,15,12,19,18,15,11,10,18,10,13,15,17,7,8,13,10,10,14,14,13,16,12,15,17,12,11,8,16,12,14,13,15,13,12,16,9,19,19,12,9,13,19,15,12,14,11,12,13,9,18,14,13,13,10,19,10,13,12,10,16,12,11,10,11,9,14,16,15
41.0,8,9,11,10,9,16,12,14,13,10,11,12,7,12,12,13,10,8,8,12,14,7,8,15,10,13,10,10,19,13,11,16,11,11,10,13,9,6,12,11,15,12,13,11,14,12,11,14,14,13,12,7,7,19,7,14,12,9,14,9,9,10,13,8,12,14,11,15,8,15,12,14,9,14,12,8,7,14,9,7,9,10,17,16,14,12,7,8,11,6,22,10,15,13,12,14,11,19,9,9
