beta,diag,seed,dpsi,index,distance,distance_cum,r2,r2_adjusted
1.6261565760795325,0.1089056951483048,98914,1.5252525252525253,14513,113.45042970390196,454.2631396008265,0.9918738176608043,0.9917434510992129
1.7854544319252834,0.1023962363101967,75190,2.0101010101010104,6525,101.84792585025971,455.01648321791595,0.991846842618269,0.9917160433019846
1.7729930996198502,0.1011916117289249,41786,1.7676767676767677,28519,135.45848072379965,457.7739616885172,0.9917477241043113,0.9916153346514394
1.881355384735299,0.1031088365937621,5790,2.0505050505050506,18826,117.2987638468539,458.3906630811758,0.9917254746166728,0.9915927282201489
1.7568602344389743,0.1028461425568758,84612,1.8484848484848486,25021,125.85308895692629,458.7897121775945,0.991711061674238,0.9915780840540386
1.8341399134438687,0.1062643153116833,26722,1.9292929292929295,2923,94.8314293892062,459.23305630148184,0.9916950341672134,0.9915617994212329
1.847333287731819,0.1013028692306846,7004,1.6868686868686869,11817,109.5673308974897,459.7814698310492,0.9916751868366473,0.991541633684294
1.7701161784878965,0.1024937085403297,39784,1.8484848484848486,1321,85.0881895447306,461.9935064478721,0.991594891783028,0.9914600504747343
1.8388702048226024,0.102052651891072,17348,1.6464646464646466,8716,105.49881515922348,462.0963103077106,0.9915911507187348,0.991456249393367
1.758005282002478,0.1020093481394171,63394,1.7272727272727273,21618,120.97520407091694,462.30293098789673,0.9915836292105242,0.9914486072192492
1.7541341245091315,0.1022545630120435,67976,1.6868686868686869,11217,107.89346597454362,462.60350193227026,0.9915726816750137,0.9914374840548267
1.658880462132731,0.1149518107420123,29383,1.8484848484848486,2521,89.3364427319557,462.8790338738621,0.9915626398708582,0.9914272811522089
1.880273232505712,0.1005459687042029,37166,1.9696969696969697,20424,119.96249413879325,464.7063588977453,0.9914958914079427,0.9913594618583375
1.806783024627681,0.100023969080492,22049,1.606060606060606,23215,124.46284586172696,464.73648447265253,0.9914947887784668,0.9913583415396187
1.8302928305738853,0.1004678092424847,53774,1.9696969696969697,13824,111.35528725660043,464.8526648304816,0.9914905357790598,0.9913540203102746
1.6881641442013284,0.1066005833575958,50345,1.606060606060606,28715,137.73162309360913,465.4449484095837,0.9914688376061592,0.9913319740383436
1.8518176784620195,0.1001151967910639,47307,1.7272727272727273,11918,110.27692415006868,465.48147116722055,0.9914674986989385,0.9913306136513278
1.797340935504523,0.1018046712144502,18504,1.7676767676767677,10119,106.52229813517918,467.169134254394,0.9914055151705438,0.991267635734777
1.802124905875052,0.1012073321414142,23942,1.8080808080808082,14220,112.89818421923356,467.3135992029335,0.991400198921285,0.991262234198097
1.8127849445951332,0.104076330353632,99107,1.7272727272727273,19118,116.43453096053592,467.40346596917743,0.9913968910328573,0.9912588732419406
1.8182534137757815,0.1011867044361888,87711,1.8484848484848486,21421,121.60592090848208,467.4537410268528,0.9913950401905227,0.9912569927069482
1.8702194394392757,0.1013310216256553,68678,2.2525252525252526,25331,126.2774722585149,467.7232087463695,0.9913851165252398,0.9912469098384789
1.763508099663004,0.1021205859985657,48641,1.8888888888888888,26822,129.5067565804966,467.7531400215289,0.9913840138957638,0.9912457895197601
1.8005740106359254,0.1053481091938467,4417,2.090909090909091,20727,119.5198728245642,467.7766561084467,0.9913831475440328,0.9912449092693382
1.847333287731819,0.1013028692306846,7004,1.9292929292929295,11823,108.37435120913068,468.9541555418824,0.9913397118186075,0.9912007767140931
1.785683284394971,0.105307702815666,65125,1.7272727272727273,3118,93.1074647920348,469.0543678508921,0.9913360101339385,0.9911970156441086
1.794785732658744,0.1022435944102365,20886,1.7272727272727273,27818,132.14007719083563,469.83507744739535,0.9913071448694446,0.9911676873005052
1.8404017974532016,0.1025012150583617,25369,1.404040404040404,24710,125.5866234915168,470.3583740085851,0.9912877700943682,0.9911480017001602
1.848632402142795,0.1039989902163513,28687,1.9292929292929295,5823,101.4248490262618,471.0498912004969,0.9912621339590537,0.9911219542899476
1.834173206328012,0.1026577747245719,27117,1.8080808080808082,8520,104.4317959244214,471.081733884896,0.9912609525703296,0.9911207539484633
1.7749062775892928,0.1001356070137505,46182,1.7676767676767677,23619,124.25779653607252,471.90888951152425,0.9912302364635012,0.9910895450698675
1.7938147587265088,0.1023634038403708,36384,1.606060606060606,8415,106.4189832689638,472.4394141051315,0.9912105072718076,0.9910694993670772
1.818534074993,0.1018161712890245,39123,1.8888888888888888,10722,108.67842472174502,472.7980541415119,0.9911971575792244,0.991055935508303
1.8692970904017951,0.1011376918962751,79684,1.9696969696969697,3724,97.52435593224904,473.30962381933455,0.9911780978411412,0.9910365699990205
1.7543984703763496,0.1058469813346516,3941,1.5252525252525253,15513,114.03508232118746,473.5029038981704,0.9911708913699238,0.9910292479159654
1.8658961534002687,0.1016993778697085,37521,2.1717171717171717,19029,119.32728103832753,473.8554631952659,0.9911577385754614,0.9910158841141051
1.7687144578377991,0.1055738803964827,50480,1.8080808080808082,9620,107.64757312638312,474.244662595163,0.9911432074941541,0.9910011199138464
1.746643102826669,0.1046973512017284,33493,1.8080808080808082,12520,110.06816070054046,474.9589455942482,0.9911165081089879,0.9909739921962979
